,0,1,2,3,4,5,6,7,8,9
 OpenAI suspends ChatGPT voice 'that sounds like Scarlett Johansson'.txt,openai,voices,voice,ai,users,noticed,sky,sounded,like,called
 Orphans married off in Nigeria after mass wedding outcry.txt,young,women,mass,including,many,ceremonies,minister,stop,girls,niger
 Peter Obi visits Kano mosque attack victims.txt,victims,kano,attack,state,mosque,government,gezawa,local,area,hospital
 STRATEGIC INITIATIVES TO ENHANCE SERVICE DELIVERY.txt,minister,public,ministry,security,across,must,correctional,nigeria,advanced,enhance
 Students urge FG to fix collapsed Lagos-Abeokuta expressway.txt,expressway,state,federal,students,monday,government,towards,completely,minister,thomas
 Sustainable Development Goals.txt,governments,agenda,sustainable,world,leaders,national,started,sdgs,goals,countries
 Tapswap frenzy: Why Nigerians are tapping their phone screens.txt,tapping,new,crypto,trend,nigeria,people,phone,viral,one,swept
 The Alchemist's Legacy.txt,ayomide,world,ancient,lay,heart,full,stone,forgotten,mind,amidst
 The Art of Living in Harmony.txt,serenity,amidst,peace,art,soul,practice,present,without,involves,life
 The Clockmaker's Last Creation.txt,amidst,oscar,like,hands,would,work,heart,one,masterpiece,clock
 The Dreamer's Odyssey.txt,lola,lay,heart,crystal,full,light,mind,dream,journey,found
 The Evolution and Challenges of Journalism in Nigeria.txt,journalism,nigerian,press,media,journalists,digital,nigeria,significant,challenges,critical
 The Intricate Social Fabric of Nigeria.txt,cultural,nigeria,social,ethnic,rich,economic,significant,challenges,nigerian,spirit
 The Last Farewell.txt,love,sarah,david,voice,weight,would,us,time,unspoken,heavy
 The Power of Empathy in Building Stronger Connections.txt,empathy,feelings,serves,fostering,world,interactions,feel,ability,understand,share
 The Rich Cultural Tapestry of Nigeria.txt,cultural,significant,economic,nigeria,oil,country,ethnic,challenges,largest,landscape
 The Wanderer's Tale.txt,kayode,journey,heart,lay,full,sky,earth,like,ends,stars
 Things Fall Apart by Chinua Achebe [A Review].txt,things,achebe,fall,apart,one,okonkwo,man,two,great,nigerian
 Veteran actor Jimi Solanke dies at 81.txt,remo,state,died,said,north,jimi,monday,ogun,solanke,hon
 infrastructure in health sector’.txt,health,healthcare,adegoke,technological,infrastructure,access,government,underserved,telemedicine,also
"$14,000 mistake turns into N7.5m windfall for honest Nigerian.txt",crypto,anjola,mistakenly,returned,account,foreign,credit,sent,said,nigerian
$6bn fraud: Court rules on Agunloye’s application for foreign medical trip July 17.txt,application,medical,court,travel,power,abroad,filed,report,federal,agunloye
'Femi+Adedeji+(Vol.+7+No.+1+pp+40-66).txt,music,church,african,apostolic,christ,ti,ayo,musicology,online,page
004128ar.txt,literature,translated,original,hebrew,literary,translation,texts,publishing,de,status
03-142Ch27 (1).txt,media,mass,social,news,tv,communication,e,ch,page,new
075F21467967.txt,sudan,south,border,secession,conflict,state,independence,conflicts,political,african
"1,000 Mentees Attend Stability, Sustenance Small Business Summit in Warri.txt",business,brand,identity,stability,sustenance,mentees,small,create,packaging,product
1-IJELS-DEC-2018-17-TheImportanceof.txt,music,igbo,cultural,social,policy,traditional,folk,life,african,culture
1-s2.0-S0953620523001930-main.txt,dna,histone,epigenetic,methylation,gene,et,expression,chromatin,genes,cell
1-s2.0-S1658361217300574-main.txt,epigenetic,dna,methylation,human,gene,histone,patients,epigenetics,cell,j
1-s2.0-S2212017315001590-main.txt,procedia,technology,dana,rus,published,elsevier,open,access,article,cc
1. 2017_Telemedicine and Beyond Navigating the Frontier of Medical Technology.txt,healthcare,telemedicine,medical,patient,technology,health,data,patients,management,ethical
1.1-Oluwafunminiyi.txt,fela,un,prison,would,regime,government,justice,beast,album,military
1.Musicasacommunicationtooletc..txt,music,development,rivers,senatorial,communication,social,people,rural,use,political
1.full.txt,obesity,et,body,mass,genetic,studies,health,index,adiposity,j
10 years after – a farewell statement to the General Assembly.txt,world,many,people,us,global,human,new,rights,united,even
10.22492.ijah.4.si-06.txt,nigerian,war,civil,nigeria,military,ethnic,state,journal,states,government
10.2307_1776255.txt,fulani,northern,emirates,two,british,one,subject,sokoto,captain,nile
10.2478_s13374-011-0018-4.txt,ofo,kolanut,earth,igbo,nanka,people,oji,one,peace,social
10.7560_765030-002.txt,letters,letter,personal,faulkner,writing,fictional,wrote,public,william,private
1001061820223720.txt,school,management,factors,internal,performance,external,relationship,significant,educational,journal
102nd-Inaugural-Lecture-Professor-Christian-Uzoma-Onyeji.txt,music,african,art,creative,musical,indigenous,composers,social,composition,traditional
1087843ar.txt,women,christian,ka,songs,northern,men,music,muslim,hâve,religious
1103394402.txt,nigeria,n,national,political,biafra,f,nigerian,state,security,states
112.txt,women,political,politics,nigerian,participation,social,journal,nigeria,sciences,men
115-455-2-PB.txt,religious,doctrinal,supremacy,counterclaims,nigeria,social,sustainable,christianity,islam,religions
1189-Article Text-3666-1-10-20230426 (1).txt,copyright,music,law,digital,act,work,new,nigerian,intellectual,musical
1189-Article Text-3666-1-10-20230426.txt,copyright,music,law,digital,act,work,new,nigerian,intellectual,musical
11th_civil_disobedience.txt,,,,,,,,,,
12 US Politicians write Biden to bring back Binance executive from Nigeria.txt,nigerian,gambaryan,politicians,authorities,tigran,detained,letter,us,court,binance
12.1-20-Mohammed1.txt,political,national,leadership,nigeria,people,pledge,elite,nigerian,state,journal
1238-2451-1-SM.txt,music,education,african,western,nigeria,nigerian,africa,journal,towards,ogisi
"12412_Baltic++70,+(900+to+913).txt",awolowo,education,western,obafemi,nigeria,also,government,political,school,free
125911608 (1).txt,science,technology,education,social,development,new,students,political,college,advancement
125957879.txt,school,education,must,management,skills,learning,schools,era,based,able
1279202039_ARQUIVO_PaulinaPalmer.txt,lesbian,gothic,de,also,feminist,female,fiction,image,transgressive,form
129680-BRI-PUBLIC-The-Future-of-Work-final.txt,labor,technological,world,technologies,employment,economic,industrial,market,countries,workers
14 Major Decisions Made At Marathon FEC Meeting .txt,council,approved,cost,contract,road,federal,also,awarded,government,nigeria
14-year-old emerges US Young Scientist award with cancer treatment soap.txt,soap,skin,cancer,bar,help,people,melanoma,risk,young,inventing
14.txt,security,business,nigeria,insecurity,development,journal,economic,challenges,national,investment
1471-2458-14-1167.txt,cholera,cases,week,outbreak,health,reported,cfr,states,wave,years
148135.txt,periodical,media,studies,magazines,periodicals,new,reading,special,digital,modern
155.txt,security,nigerian,nigeria,management,personnel,public,government,international,elements,good
157-ArticleText-560-1-10-20211013.txt,goat,farmers,et,goats,production,reported,livestock,al,indigenous,african
1598957423_value-added-tax-and-its-effect-on-revenue-generation-in-nigeria.txt,tax,revenue,value,government,income,added,vat,generation,goods,public
"16 months after presidential assent, FG yet to establish mental health dept.txt",mental,health,department,national,meant,federal,ministry,establishment,establish,act
175.txt,music,therapy,healing,one,igbo,african,international,traditional,social,also
1776ThomasPaine.txt,hath,would,may,us,king,time,without,men,every,one
1882-3713-1-SM.txt,form,music,musical,may,section,b,art,composer,call,composition
188225479.txt,schools,education,religious,mission,government,return,nigeria,state,educational,nigerian
1886-3721-1-SM.txt,women,nigerian,music,education,also,woman,nigeria,many,nation,society
19 - Motivation.txt,motivation,theory,people,needs,need,work,behaviour,job,money,goal
19920906-Once-More-to-the-Lake (1).txt,,,,,,,,,,
19920906-Once-More-to-the-Lake.txt,,,,,,,,,,
1998_Suffering_and_the_identification_of.txt,e,n,g,people,l,religious,kano,nigeria,new,nigerian
1a document.txt,magazines,magazine,little,advertising,mass,modernism,new,modern,th,poetry
1bj06qac2_899232.txt,ethical,future,extraterrestrial,life,human,may,biological,entities,consideration,would
2.Navigating the Gig Economy.txt,gig,workers,economy,traditional,social,work,fair,mcr,hrd,samriddhi
20051207_buhari.txt,muslim,democracy,nigeria,islam,conflict,democratic,resolution,states,even,world
2006.00110v1.txt,movement,ecology,papers,research,data,animal,science,methods,using,used
2007-null.txt,organic,ifoam,international,also,agriculture,movement,first,development,world,years
2016-null.txt,health,reproductive,adolescents,sexual,srh,knowledge,services,access,utilization,among
2016adetokunboedmundavphd.txt,stories,nigeria,news,media,british,africa,nigerian,negative,rebranding,study
20180717-buh-speech.txt,court,international,icc,president,muhammadu,buhari,nigeria,criminal,also,crimes
2020 Nigeria Country Update (1).txt,religious,freedom,state,nigeria,government,violations,religion,nigerian,also,policy
2020 Nigeria Country Update.txt,religious,freedom,state,nigeria,government,violations,religion,nigerian,also,policy
2022-journal-of-african-elections-v21n2-two-decades-democracy-nigeria-consolidation-regression-eisa.txt,party,political,election,elections,democracy,nigeria,democratic,electoral,parties,general
2022etoisuna.txt,ati,ti,eto,awon,owo,isuna,odun,fun,idagbasoke,ni
2023-Budget-Speech-by-President-Muhammadu-Buhari.txt,budget,government,trillion,revenue,fiscal,national,naira,federal,finance,oil
"2027: FG, presidency dismiss Atiku, Obi’s planned alliance.txt",atiku,presidential,president,obi,pdp,party,political,also,meeting,alliance
"2027: Planned mega party on course, says Utomi.txt",political,nigeria,mega,parties,party,said,utomi,people,country,must
2109.00198v1.txt,system,school,information,student,management,figure,data,college,systems,quality
2183-2874-1-PB.txt,tourism,religious,faith,people,based,nigeria,one,okolo,nwankwor,travel
2301_sipri_rpp_food_insecurity_in_africa_0.txt,food,climate,conflict,africa,security,global,change,insecurity,world,per
234642043.txt,reading,research,culture,students,teachers,nigerian,poor,education,nigeria,among
234646513.txt,stock,market,economic,growth,development,capital,nigerian,e,issn,economy
234650863.txt,mental,health,rights,mentally,persons,ill,human,stigma,law,illness
234673753.txt,women,yoruba,religious,also,men,role,social,economic,woman,male
234681691.txt,tax,compliance,revenue,taxpayer,assessment,self,rate,enforcement,generation,income
234694608.txt,music,mus,african,c,nigerian,musical,education,curriculum,e,traditional
234695079.txt,tax,revenue,taxation,point,mean,scale,taxes,income,state,e
236406681.txt,folk,medicine,igbo,traditional,health,igbos,medical,among,e,scientific
236409887-prostitution.txt,prostitution,women,sex,sexual,prostitutes,social,may,e,w,scientific
2389-Article Text-5776-6816-10-20240303.txt,fashion,design,ai,digital,technologies,journal,research,international,study,virtual
24.txt,security,nigeria,oil,public,country,threats,national,boko,review,administration
"25 dead, 53 injured in Kano auto accident – FRSC.txt",said,kano,sector,confirmed,incident,trailer,occurred,vehicle,commander,ibrahim
2589-Article Text-8495-1-10-20220627.txt,origin,issn,people,igbo,yoruba,african,bini,th,story,stories
2677-Article Text-8824-1-10-20220703.txt,igbo,studies,african,journal,parts,e,migration,cultural,people,new
26836408_015_01_s005_text1Gospeltainment-MusicandProfitinNigeria.txt,music,gospel,nigerian,musicians,church,popular,nigeria,religious,african,christian
292-Research Paper-598-1-10-20180928 (1).txt,music,education,nigeria,national,social,album,albums,musicians,nigerian,political
2994857.txt,ywritin,gproces,g,writin,sabou,e,lstudent,estudent,l,gfeedbac
2_Steps_To_Six_Pack_Abs.txt,ab,six,pack,abs,different,aim,times,getting,step,important
3 Foods That Can Improve Your Chances of Longevity.txt,diet,incorporating,legumes,foods,longevity,leafy,greens,like,chances,berries
3 Longevity Habits to Include in Your Life Starting Today.txt,sleep,start,key,habit,way,longer,balanced,health,staying,longevity
3 Mindfulness Techniques You Can Use Today.txt,mindfulness,technique,mindful,way,stress,start,meditation,techniques,today,finding
3-74-Research+Article+(Final+Copy).txt,fashion,apparel,aesthetic,synthetic,qualities,apparels,expressive,good,clothing,among
3-Article Text-12-1-10-20200207.txt,ipob,social,media,contents,sm,journal,study,members,p,information
3.txt,money,politics,political,form,party,elections,nomination,presidential,effects,aspirants
30-Article Text-61-1-10-20210531.txt,banditry,bandits,security,state,retrieved,northwest,people,kill,nigeria,attacks
30827_modestproposal.txt,would,one,thousand,upon,number,may,great,children,therefore,well
35.txt,forest,deforestation,poverty,degradation,forests,water,nigeria,causes,also,global
3626252.3630880.txt,ai,tools,programming,students,code,computing,education,learning,use,could
37b4c338a1a91161b180443f2c671df0f5d6.txt,development,communities,also,social,study,people,issn,oil,anambra,land
3_Blunders_To_Avoid_on_Your_Weight_Loss_Journey.txt,weight,loss,calories,eat,blood,sugar,get,eating,food,levels
3_D_s_of_sleeping_pills.txt,sleeping,sleep,pills,people,effects,get,use,may,take,work
3_Lessons_From_The_Biggest_Loser.txt,people,weight,biggest,watch,food,lessons,see,many,loss,make
3__Must_Do__-_Steps_To_A_Happier___Healthier_Day.txt,weight,help,loss,keep,time,eat,healthier,losing,extended,daily
42-76-1-SM.txt,yoruba,language,literature,literary,english,written,languages,paper,oral,journal
4731-9367-1-SM.txt,fashion,respondents,social,ict,research,access,youths,study,journal,anambra
4817264.txt,information,internet,library,may,education,access,technology,national,students,educational
484952210-The-Abatim-of-the-Efik-Kingdom-A-Reference-Note-on-Eniong-Abatim-Etubomship-Rulership-Settings-Vol-1-Nkebem-Nkebem.txt,chief,eniong,ikpeme,efik,abatim,family,people,ekpenyong,house,nkebem
488390744 ikorodu history.txt,olisa,ikorodu,lagos,oko,benin,first,lasunwon,area,people,oloja
4_13_24_Moreno.txt,english,writing,spanish,researchers,research,difficulty,ra,perceived,proficiency,academic
5.7-AAso Ebi.txt,aso,ebi,social,cultural,culture,values,yoruba,dress,practice,economic
50 The Holy Ghost The Great Teacher.txt,truth,us,e,god,know,holy,may,spirit,shall,great
5014-9933-1-SM.txt,music,industry,nigerian,artists,nigeria,musical,international,journal,arts,social
52 Free Will A Slave.txt,e,christ,come,life,man,would,god,might,unto,one
58906911.txt,stock,e,financial,th,markets,n,econom,market,co,nº
60e26e454ddf0bc7acfe79ffcde17271.txt,ai,healthcare,artificial,intelligence,data,patient,medical,health,system,boon
659-Article Text-1088-1-10-20210810.txt,yoruba,identity,african,one,people,philosophy,political,origin,issn,філософія
6598525.txt,nigeria,state,government,e,south,political,th,federal,north,oil
680147802.txt,advertising,online,newspaper,media,newspapers,per,internet,finn,olesen,informative
71-year-old landlord arrested for impregnating tenant’s teenage daughter.txt,state,police,said,girl,teenager,arrested,defiling,bathroom,landlord,medical
71_ng_en_24.txt,nigeria,united,international,development,nations,global,also,climate,terrorism,efforts
740-Article Text-1489-1-10-20220910.txt,war,nigerian,biafran,biafra,civil,government,propaganda,military,nigeria,international
747-3034-1-PB.txt,milk,dairy,production,oxytocin,et,goat,kambing,goats,dan,kids
773-Article Text-1418-1-10-20180101.txt,political,restructuring,south,niger,nigeria,state,delta,national,nigerian,social
79-789.txt,school,leadership,effective,improving,learning,development,leaders,successful,management,schools
797858B40912.txt,traditional,healing,psychiatric,health,igbo,care,victim,healers,spirit,also
8. Mamta Srivastava.txt,gandhi,thoreau,essay,civil,resistance,satyagraha,passive,indian,mahatma,south
8.full.txt,epigenetic,mechanisms,health,social,gene,exposure,epigenetics,expression,also,general
80% of AI decision makers are worried about data privacy and security.txt,organisations,genai,business,data,analytics,ai,sas,increasing,lack,strategic
911-Article Text-2117-1-10-20220412.txt,forest,deforestation,respondents,strongly,agreed,et,disagreed,journal,study,causes
92220060303.txt,metal,metals,roof,runoff,dissolved,water,roofing,asbestos,roofs,nd
94c5a199e163c16be8be4edac150c342 (1).txt,education,educational,administration,nigeria,school,institutions,challenges,government,quality,primary
94c5a199e163c16be8be4edac150c342.txt,education,educational,administration,nigeria,school,institutions,challenges,government,quality,primary
9780008284688.txt,one,would,could,seemed,time,people,many,house,new,another
9780520340466_intro.txt,rhetoric,art,listening,one,political,like,way,human,introduction,subject
9780521862943_frontmatter.txt,nigeria,history,nigerian,university,matthew,toyin,military,became,falola,heaton
9781501722844.txt,one,many,petrarchism,also,petrarchan,poems,sonnet,may,like,love
9789027260598_306_324.txt,de,magazines,authors,articles,quoted,ideas,published,cultural,foreign,magazine
9ja hist..txt,nigeria,government,many,nigerian,also,state,areas,northern,federal,british
9ja women (1).txt,women,could,land,household,woman,many,role,nigerian,major,control
A CERTAIN King Dekun had a wife named Isokun who bore him no children.txt,baby,isokun,mother,king,great,one,disappeared,though,could,last
A CERTAIN King had engaged in a series of wars.txt,king,head,magicians,asked,three,charms,came,easily,magician,fell
A CERTAIN Yoruba King.txt,brother,king,one,made,lies,time,royal,gave,mother,law
A Call to Action Against Terrorism.txt,conflict,past,courage,great,together,much,nigerian,asked,national,different
A Call to Action for Nigeria.txt,every,nigerian,nigerians,many,nigeria,terrorists,seen,people,world,great
A Chilling Effect.txt,press,journalists,president,government,report,according,rights,state,journalist,last
A Creative Artificial Intelligence System to investigate user Experience.txt,emotion,emotional,system,based,art,cais,creative,user,affective,emotions
A Day With Seyi Makinde.txt,state,governor,oyo,ibadan,electricity,government,road,makinde,would,federal
A FAMOUS Olofin.txt,mouse,hut,without,die,olofin,return,famous,yoruba,imprisoned,enemies
A GOLDSMITH in a small village had ten sons.txt,ten,work,sons,time,skilful,old,man,made,another,father
A HANDSOME stranger.txt,stranger,would,came,leopard,handsome,could,never,village,maidens,one
A HISTORY OF NIGERIA -  Final.txt,military,biafra,war,gowon,federal,many,igbo,ojukwu,biafran,coup
A HISTORY OF NIGERIA Part 1.txt,nigeria,national,federal,country,many,regional,ethnic,power,region,political
A HISTORY OF NIGERIA Part 2.txt,nigerian,one,national,many,written,language,plays,characters,different,ethnic
A HISTORY OF NIGERIA Part 3.txt,percent,development,foreign,economic,regional,government,investment,fndp,nigerian,national
A HISTORY OF NIGERIA Part 4.txt,northern,region,federal,western,upga,npc,ag,government,would,percent
A HISTORY OF NIGERIA Part 5.txt,upga,election,nndp,western,ncnc,region,ag,seats,price,candidates
A Historical Survey of Playwriting by Women in Nigeria.txt,women,female,nigerian,playwrights,play,plays,society,political,gone,mad
A Lesson From History: AI Is Not Likely To Kill Jobs.txt,ai,use,could,system,using,mckinsey,talked,companies,senior,partner
A Look Back at the 1999 Election.txt,democratic,political,civilian,general,election,electoral,transition,years,military,party
A MAGICIAN once passed through a grove in the forest where a great many brown birds fluttered from tree to tree and filled the air with songs.txt,birds,magician,brown,beautiful,came,grove,great,tree,could,means
A MAN once brought home to his wife a very old cooking.txt,man,old,every,day,woman,pot,husband,young,cooking,use
A Minimalist Account of Interrogative Word Movement in Ibibio.txt,interrogative,movement,words,ibibio,word,ké,position,case,feature,language
A NOBLEMAN of Ile.txt,igbos,ifes,stream,ile,handsome,country,raids,battle,gods,offer
A Nation Under Siege: Our Response to Terrorism.txt,acts,good,freedom,business,federal,nigerian,nigeria,evil,help,way
A Reintroduction to Restructuring .txt,restructuring,constitutional,powers,first,nigerian,government,president,restoration,states,federal
A Review of Buchi Emecheta’s The Joys of Motherhood .txt,nnu,woman,buchi,ego,motherhood,love,joys,ona,women,could
A Study of Nigeria’s Opera Development and Composers.txt,opera,music,nigerian,art,composers,development,nigeria,study,within,operatic
A Study of Speech Acts in WhatsApp Conversations.txt,speech,acts,staﬀ,university,act,whatsapp,social,illocutionary,language,use
A discourse on the history and identity of the Isoko of the Niger Delta of Nigeria.txt,identities,uwomano,benjamin,according,localgovernment,traditions,communities,see,st,f
A former minister of aviation in Nigeria.txt,mr,sirika,former,daughter,minister,aviation,hadi,court,son,company
A little-known AI startup is behind Nigeria’s first government-backed LLM.txt,awarri,ai,rest,said,told,help,nigerian,data,would,build
A sociolinguistic analysis of slangy expressions in Nigerian pidgin[#528081]-650739.txt,nigerian,pidgin,language,slangy,data,means,slang,expressions,one,linguistic
A widow’s story .txt,day,would,right,happened,give,never,also,knew,love,turned
A-Historical-Review-of-the-Egun-Tribe-in-Badagry.txt,egun,badagry,history,people,ethnic,lagos,historical,issn,african,group
A-SPEECH-DELIVERED-BY-THE-PRESIDENT-OF-THE-UNIVERSITY-OF-NIGERIA-ALUMNI-ASSOCIATION.txt,university,nigeria,benin,honour,alumni,atu,ejoor,osaretin,kingsley,association
ABIKU BY J.P CLARK.txt,line,abiku,stay,step,lines,many,coming,going,several,baobab
ACCEPTANCE_SPEECH_OF_THE_58TH_PRESIDENT.txt,council,members,institute,ican,page,presidential,public,professional,nigeria,would
ACCESSTOLIGHTINGANDCOOKINGENERGYINNORTHERNNIGERIA-MARCH2024-FINAL.txt,cooking,lighting,charcoal,firewood,households,energy,use,adamawa,access,community
ACCORDING to another story.txt,leopard,hut,day,lady,round,according,another,dark,prowling,one
ACROSS a certain river a poor fisherman .txt,fisherman,basket,stranger,river,went,every,find,day,spoke,evening
ADA406482.txt,nigeria,military,general,government,nigerian,army,economic,major,available,foreign
ADDRESSING THE KANO EMIRATES’ DEBACLE.txt,traditional,justice,kano,state,rulers,appointment,authorities,last,chief,njc
AGF Takes Over Prosecution of Polaris Bank Staff.txt,account,alleged,polaris,bank,section,said,date,fraudulently,withdrew,sum
AGN elections hot up as Cornell Udofia eyes PR job.txt,udofia,man,ambassador,agn,one,cornell,many,people,great,actors
AI Anthropomorphism and Social Robots.txt,ai,nigeria,frameworks,development,used,data,gone,ethical,also,wrong
AI In Nigeria HostsArtificial Intelligence Summit In Lagos.txt,ai,financial,nigeria,lagos,unique,according,like,solutions,challenges,significant
AI Is A Beacon Of Hope And Potential Danger.txt,also,new,attacks,advanced,magdy,criminal,cybercriminals,tools,ai,like
AI adoption can boost economic growth.txt,ai,economic,economy,nigeria,per,policy,financial,according,future,quarter
AI and healthcare: How things look currently.txt,healthcare,ai,medical,data,care,health,help,professionals,way,analyse
AI at Work in Nigeria: Friend and Foe?.txt,genai,respondents,employees,work,technology,frontline,training,technologies,using,impact
AI could solve Nigeria’s ‘mis-banking’ problems- Damola Giwa ARM MD for Digital Banking.txt,financial,banking,problem,really,artificial,intelligence,technology,said,business,still
AI for a More Productive Agricultural Sector.txt,ai,nigeria,learning,personalised,healthcare,education,energy,traffic,ensure,future
AI helping find 'world's loneliest plant' a partner.txt,male,female,forest,known,species,one,plant,endangered,research,university
AI in HC eBook_F_sml_0.txt,ai,healthcare,health,data,clinical,patient,lenovo,learning,help,medical
AI in healthcare: additional courses.txt,university,health,ai,medical,taipei,digital,role,like,complex,data
AI may boost Nigeria’s economy by over $4bn.txt,ai,corporate,oriakhogba,ethical,business,governance,human,economic,opportunities,nigerian
AI patients admitted to training ward.txt,healthcare,mannequins,help,students,respond,range,designed,patients,used,train
AI solutions to Nigeria’s electricity woes.txt,power,ai,electricity,energy,grid,generation,used,demand,sector,regulatory
AI technology to help cut cancer waiting lists.txt,ai,help,nhs,cancer,summit,global,bletchley,technology,england,work
"AI to aid telecoms operators’ transformation, gains.txt",per,cent,ai,respondents,believe,traffic,revenue,survey,network,csps
AI tools open up a world of African languages.txt,language,african,learning,duolingo,languages,ai,zulu,local,market,online
AI will strengthen financial inclusion in Nigeria — Expert (Financial Inclusion).txt,financial,services,ai,inclusion,nigeria,percent,technology,investing,intelligence,sector
AI-in-health-huge-potential-huge-risks.txt,ai,health,solutions,oecd,data,use,risks,huge,risk,ing
AJPH.2017.304289.txt,biafra,humanitarian,health,biafran,french,e,nutritional,available,november,nigeria
AMAMIHE JOURNAL_19_4_8.txt,state,akpabioism,akpabio,politics,political,people,nigeria,department,socio,uncommon
AN ANALYSIS OF SECONDARY EDUCATION IN NIGERIA:  A NEED FOR RETHINKING IN A PHILOSOPHICAL  PERSPECTIVE.txt,education,secondary,sector,national,schools,students,government,different,school,need
AP107.txt,yoruba,political,nationalism,nigerian,cultural,nigeria,colonial,many,ethnic,e
APC chieftain to Tinubu: Invest in blue economy to reduce reliance on crude oil.txt,blue,marine,economy,said,oyintiloye,chieftain,potential,sector,advertisement,sustainable
APC will retain Ondo in November governorship election — Aiyedatiwa.txt,governor,party,victory,said,aiyedatiwa,lucky,governorship,election,celebrate,people
ARIJENIWAA.F.2017PRELIMINARYPAGES.txt,pidgin,english,advertising,respondents,language,nigerian,research,communication,study,strongly
"ARTIFICIAL INTELLIGENCE: Risks, gains of revolutionary technology.txt",ai,nigeria,call,could,account,artificial,money,used,like,company
AS ‘OVULERIA’ EXITS THE STAGE.txt,nigerian,played,people,life,lizzy,one,television,role,called,know
ASE_CreationPV2002.txt,system,attractor,complex,ieee,butterfly,two,circuits,chaotic,respect,voltage
ASO OKE AND ADIRE.txt,adire,made,modern,yoruba,means,hand,cloth,fabric,cotton,still
ASUU kicks as FG unveils tertiary institutions’ governing council.txt,governing,federal,councils,council,government,university,former,universities,institutions,national
AT one time the Leopard was coloured like a lion.txt,leopard,like,dark,though,one,time,coloured,pursued,renowned,feared
ATR 3_1_ 82-92_word (1).txt,tax,rev,revenue,granger,taxation,vat,ppt,corpt,cusexc,cause
ATR 3_1_ 82-92_word.txt,tax,rev,revenue,granger,taxation,vat,ppt,corpt,cusexc,cause
